  company all Details
"
"['U72900MH2022PTC386476', 'YUGAANTAR INNOVATIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC345863', 'E-NOVATE MARCOM SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC365316', 'SCM CLOUDTECH SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC280795', 'SEAFOAM INFOSOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2015PTC269768', 'AANYA E-COMMERCE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2009PTC193551', 'MAPLE DIGITAL TECHNOLOGY INTERNATIONAL PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC368778', 'POPCLUB VISION TECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC361548', 'DIGITAL VISION E-COMMERCE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC332339', 'IMBIZO TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2010PTC209476', 'FORETECH CONSULTANCY PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2018PTC310548', 'BRND STUDIO PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72501MH2018PTC310633', 'PRATHAM CLOUDWARE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2008PTC185800', 'IN-TAP TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC280367', 'KOSTA EVENTURES PRIVATE LIMITED', 'Mumbai', 'Active']"
[]
"['U72900MH2018PTC314671', 'AERPACE COMMUNICATIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC322652', 'TURINGSTACK TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2019PTC331934', 'SBATECH SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72100MH2018PTC318873', 'ZOFFEC INFOTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2015PTC264768', 'OXSTREN WEARABLE TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2007PTC166661', 'ABCEDO TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC349174', 'KAYTWO CYBER SECURITY INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC372329', 'DIGITALFLAKE SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2015PTC268079', 'UNIFYND TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2021PTC371928', 'URSALINK TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72501MH2020PTC349095', 'I5MA ARTISANS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC272716', 'MANDAL TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2015PTC262171', 'GIZBUZZ SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2006PTC160014', 'ABC COMNET PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC390625', 'FLAIR LABS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC389391', 'CYBERDUNE TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2023PTC396775', 'DATAXELLENCE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC390274', 'SNRF TECHNOLOGIES INTERNATIONAL PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC344122', 'FY5 SOFTWARE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC364937', 'INSOURCEDEV PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC368137', 'IND365 TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC371689', 'CYBERSWORD TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC371017', 'RHINE SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2014PTC256041', 'VENONA MEDIASOFT INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2008PTC184787', 'HATHWAY SAI STAR CABLE & DATACOM PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2008PTC182529', 'VERSION NEXT TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC357851', 'VISHVAKARMA PAYMENTS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC305893', 'VAPSYS TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2022PTC396037', 'MODMATICS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2001PTC133383', 'AMAX NETWORK PRIVATE LIMITED', 'Mumbai', 'Active']"
[]
"['U72900MH2020PTC348427', 'SEQURITIS TECHNOLOGY INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC351173', 'FINSTRIVE TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC396396', 'SOFTLAB IT SOLUTION PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2000PTC128445', 'AVENUE TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC390255', 'ONESUTRA TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2004PTC148650', 'GENSOL SOFTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC373095', 'OPEXONE CONSULTANCY SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC394989', 'SOFTKEY IT WORLD PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2007PTC172850', 'SWITCH MEDIA SERVICES INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2006PTC164795', 'GROOPHS TECHNOLOGIES PRIVATE LIMITED.', 'Mumbai', 'Active']"
"['U72200MH2017PTC290139', 'VIIKING PAYMASTER PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72501MH2014PTC251667', 'ANDEVA SOFTWARE SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2014PTC256018', 'AMIDEEP TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC313388', 'TUNTUN EDTECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72501MH2016PTC285050', 'MYDESQ TECHNOLOGY INDIA PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2000PTC128185', ""NADKARNI'S WEB DIRECT PRIVATE LIMITED"", 'Mumbai', 'Active']"
"['U72200MH2021PTC355663', 'NEXT GIG PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC356258', 'BIOHYMNS CONSULTING PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2014PTC256886', 'IGRENENERGI SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2008PTC177935', 'HOT DOT TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2002PTC134543', 'GRAPES TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH1995PTC089644', 'LIVE-STOCKS INFORMATION TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2008PTC186619', 'ELIXIR 360 SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2008PTC177414', 'SNK SOFTWARE SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC389974', 'WISE TECH PLATFORMS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC392314', 'ANVIST CONSULTANCY PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2000PTC126683', 'SOFT CIRCUIT.COM (INDIA) PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72100MH2000PTC126095', 'KM INFORMATION SYSTEMS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2010PTC202369', 'HYPER IT LEARNING PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2019PTC331492', 'GODRIX ANALYTICS AND MOBILITY SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
[]
"['U72300MH2014PTC258830', 'CRESCO INTERNATIONAL ANALYTICS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC396034', 'BOROFREE INFOTECH (INDIA) PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2013PTC247154', 'SH&E SYSTEMS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2008PTC181133', 'LS TECHNOSOFT PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2003PTC140391', 'BIZSTREAM SOLUTIONS (INDIA) PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2002PTC138427', 'GOLDLINE I-TECH SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2000PTC129031', 'SUN FACILICORP PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC314635', 'PRAKARCHANA TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2001PTC131198', 'MEGAWARE TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2018PTC312768', 'GROWCER ET AL PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2010PTC208155', 'ALPHA FINSOFT PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2013PTC240988', 'NRSS INFO TECH PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC375622', 'ELEVANTIS STUDIO PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2020PTC352179', 'EMGEE DIGITAL MARKETING SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC389176', 'BREAKWAY IT SERVICES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72500MH2019PTC330487', 'MICROFICIAL INTELLIGENCE PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72200MH2007PTC173811', '3 CUBE INFOSYSTEMS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2016PTC285093', 'ALPOME TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2017PTC296864', 'SPOINA FASHION TECHNOLOGY PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2017PTC290142', 'NEMITIRU ADVISORS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2011PTC218762', 'TECHANTHEM IT SOLUTIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2021PTC369315', 'XECH TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72300MH2015PTC270813', 'CRMANTRA TECHNOLOGIES PRIVATE LIMITED', 'Mumbai', 'Active']"
"['U72900MH2022PTC389770', 'PORA INNOVATIONS PRIVATE LIMITED', 'Mumbai', 'Active']"
