company all Details
"['U72900TN2022PTC154288', 'MAAYA SOFTWARE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2018PTC124469', 'TALUNIQUE TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2012PTC088261', 'ECRUBIT CONSULTANCY SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC134931', 'NEWGEN MONDO SERVICES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC129225', 'NECTO VENTURES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2021PTC142201', 'TECSSA INFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC132375', 'DIGITECHLABS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC133832', 'AASHRITHA TECHNOLOGY PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2012PTC086818', 'SQUARE BROTHERS INFO TECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2003PTC050793', 'CHAKRIKA TECHNOSOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC138518', 'AXENTRICS TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
[]
"['U72200TN2006PTC059285', 'ENNVEE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN1998PTC040770', 'INTERACTIVE LEARNING SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2022PTC155617', 'PENTA COBALT TECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN1998PTC039941', 'ADVANCED TECHNOLOGY LABS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72400TN2008PTC069636', 'PERITO TECHNO SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2005PTC055922', 'ALTIUS INFOSYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC128590', 'INTELLI SYSTEMS IT INFRASTRUCTURE SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2005PTC058257', 'SINGLEPOINT SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2023PTC158085', 'PROSCALER PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN1999PTC041732', 'OLYMPUS PREMEDIA PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72300TN2006PTC060639', 'TALENTZ RESOURCES INDIA PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72502TN2018PTC121299', 'SITUP BUSINESS WORLD PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2008PTC066596', 'APPARENT INFOTECH PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2018PTC126608', 'STAQI TECHNOLOGIES PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2008PTC069413', 'BNP PARIBAS GLOBAL SECURITIES OPERATIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2006PTC058592', 'CAD MACRO DESIGN AND SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2016PTC104279', 'ESPIRITZ TECHNOLOGY SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2020PTC133773', 'NEXT INFORMATION SYSTEMS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2018PTC121004', 'YAMEE CLUSTER PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72200TN2019PTC131681', 'MEINIGER SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72900TN2019PTC127958', 'VADALY SOLUTIONS PRIVATE LIMITED', 'Chennai', 'Active']"
"['U72501TN2019PTC127252', 'CLARINOX TECHNOLOGIES INDIA PRIVATE LIMITED', 'Chennai', 'Active']"
